x,y,theta
-69.31607655352701,53.75661267858121,0.041162414851668674
-69.11895151817446,53.76473140688934,0.013483505533389215
-68.91894034466297,53.76742842209965,1.744923167036479e-05
-68.71886074931817,53.76743191333486,-0.004704224284316605
-68.51878189916089,53.76649069060616,-1.3540097469758451e-06
-68.31870129564527,53.766490419695074,0.0018814613288156597
-68.11862090718856,53.7668668636528,0.001040542892157232
-67.9185401263745,53.76707505636227,-0.0003999740711787462
-67.71845921480083,53.76699502918124,-0.0009426834378361114
-67.51837838216953,53.76680641623822,-0.0005774079774445547
-67.31829748766827,53.76669088792076,0.00011307932684719187
-67.11821657502163,53.76671351293577,0.000459096965601622
-66.9181356820105,53.76680536947308,0.00043491845889459725
-66.71805478731916,53.76689238835294,0.0002503834390882115
-66.51797387989417,53.76694248529969,8.998467652628206e-05
-66.31789296686368,53.766960489515974,-3.998591422013214e-05
-66.11781205231429,53.76695248909768,-0.00013951977605939058
-65.91773113700116,53.766924573853004,-0.0002086108152092897
-65.71765022541628,53.766882834810325,-0.00024725540008401175
-65.51756931635025,53.766833363724096,-0.00025545235899412943
-65.3174884078874,53.76678225258293,-0.0002332029774912044
-65.11740749796454,53.76673559311815,-0.00018051099812346627
-64.91732658492946,53.76669947631244,-9.738261912440937e-05
-64.71724566809955,53.76667999190866,1.6173503350143717e-05
-64.51716474831956,53.76668322791809,0.00016013297128996402
-64.31708383758165,53.766715267469095,0.00031332173215223606
-64.11700293089976,53.7667779571674,0.0004116645546631687
-63.91692202791849,53.766860323387874,0.00044309704726699516
-63.7168411259804,53.76694897865054,0.00040762409465984467
-63.516760221157746,53.767030536452744,0.0003052340277191789
-63.31667931096171,53.76709160795673,0.0001358986208033202
-63.1165983970536,53.767118798677146,-0.0001004269042016447
-62.91651748796217,53.76709870517079,-0.00040380388780164524
-62.716436586438256,53.76701791172049,-0.0007743102261175222
-62.5163557171701,53.7668629870264,-0.0012120403268449378
-62.31627493649996,53.76662048093285,-0.0017171051015599868
-62.116194307576876,53.76627692112655,-0.0022896319666751955
-61.91611391417794,53.76581880986138,0.004862246742028816
-61.71605464780185,53.76679155504324,-0.019469177901226566
